token,funding_rate,funding_category,avg_stable_funding,stable_volatility,drop_magnitude,stability_score,entry_price,high_price,change_pct,candles_to_peak,position_size_usdt,profit_usdt,profit_pct,settle_time,stable_rates,roi_per_candle,risk_reward_ratio
BANANAS31,-0.02012,Strong,0.000146,6.1e-05,0.020266,High,0.025279,0.076836,203.95,1.0,1000,2039.52,203.95,1752148800000,"[6.4e-05, 0.00021, 0.000164]",203.95,0.0098651630301544
B,-0.00511,Strong,6.7e-05,0.000189,0.005177,High,0.11801,0.35041,196.93,1.0,1000,1969.32,196.93,1747872000000,"[0.0002, 0.0002, -0.0002]",196.93,0.0025948306504849
DRIFT,-0.015,Strong,0.0001,0.0,0.0151,High,0.902,2.0866,131.33,1.0,1000,1313.3,131.33,1731052800000,"[0.0001, 0.0001, 0.0001]",131.33,0.011421609685525
DIA,-0.005476,Strong,-0.000211,0.000101,0.005265,High,0.4821,0.9288,92.66,1.0,1000,926.57,92.66,1752955200000,"[-7.3e-05, -0.00025, -0.000311]",92.66,0.0059097776818476
BMT,-0.016504,Strong,-4.6e-05,0.000136,0.016458,High,0.1906,0.3222,69.05,1.0,1000,690.45,69.05,1742270400000,"[5e-05, -0.000238, 5e-05]",69.05,0.0239015206372194
10000WEN,-0.008388,Strong,0.000235,0.000123,0.008623,High,0.716,1.092,52.51,1.0,1000,525.14,52.51,1707782400000,"[0.000207, 0.000398, 0.0001]",52.51,0.0159741001713959
ACH,-0.010227,Strong,2.4e-05,0.000107,0.010251,High,0.0275,0.039822,44.81,1.0,1000,448.07,44.81,1737964800000,"[-0.000128, 0.0001, 0.0001]",44.81,0.0228230305735326
CKB,-0.008743,Strong,3.4e-05,5.8e-05,0.008777,High,0.010081,0.014394,42.78,1.0,1000,427.83,42.78,1726214400000,"[0.0001, 4.3e-05, -4.2e-05]",42.78,0.0204371201496026
BRETT,-0.015,Strong,0.0001,0.0,0.0151,High,0.0391,0.0553,41.43,1.0,1000,414.32,41.43,1714262400000,"[0.0001, 0.0001, 0.0001]",41.43,0.0362056480811006
ENJ,-0.005235,Strong,-4e-06,0.000147,0.005231,High,0.0885,0.1165,31.64,1.0,1000,316.38,31.64,1745193600000,"[-0.000211, 0.0001, 0.0001]",31.64,0.0165455120101137
AERO,-0.00842,Strong,-0.000154,0.000288,0.008266,Medium,0.782,1.029,31.59,1.0,1000,315.86,31.59,1738555200000,"[-0.000561, 5e-05, 5e-05]",31.59,0.0266540044317822
ARCSOL,-0.005219,Strong,-5e-06,7.8e-05,0.005214,High,0.3049,0.3894,27.71,1.0,1000,277.14,27.71,1739462400000,"[-0.000115, 5e-05, 5e-05]",27.71,0.0188343558282208
ARK,-0.005971,Strong,2e-06,4.6e-05,0.005973,High,0.3061,0.3877,26.66,1.0,1000,266.58,26.66,1743897600000,"[2.2e-05, 4.6e-05, -6.1e-05]",26.66,0.022396849212303
AKT,-0.011034,Strong,5e-05,0.0,0.011084,High,1.227,1.494,21.76,1.0,1000,217.6,21.76,1741665600000,"[5e-05, 5e-05, 5e-05]",21.76,0.0507077205882352
AWE,-0.005728,Strong,-1.4e-05,4.8e-05,0.005714,High,0.0634,0.07487,18.09,1.0,1000,180.91,18.09,1751472000000,"[-2.8e-05, 5e-05, -6.4e-05]",18.09,0.0316639027086788
BAL,-0.007444,Strong,4e-05,8.4e-05,0.007484,High,0.762,0.895,17.45,1.0,1000,174.54,17.45,1744099200000,"[0.0001, 0.0001, -7.9e-05]",17.45,0.0426590257879656
BOBA,-0.006396,Strong,3e-05,9.9e-05,0.006426,High,0.9958,1.1622,16.71,1.0,1000,167.1,16.71,1710662400000,"[0.0001, -0.000109, 0.0001]",16.71,0.0382764811490125
AEVO,-0.006214,Strong,-0.000977,8.5e-05,0.005237,High,2.313,2.699,16.69,1.0,1000,166.88,16.69,1710950400000,"[-0.001033, -0.00104, -0.000857]",16.69,0.0372318753744757
10000LADYS,-0.009662,Strong,0.0001,0.0,0.009762,High,0.000418,0.000483,15.64,1.0,1000,155.5,15.55,1744473600000,"[0.0001, 0.0001, 0.0001]",15.55,0.0617774936061381
A8,-0.00577,Strong,-0.000114,0.000232,0.005656,Medium,0.14932,0.17198,15.18,1.0,1000,151.75,15.18,1748462400000,"[-0.000443, 5e-05, 5e-05]",15.18,0.0380105401844532
AUDIO,-0.010033,Strong,-0.000147,0.000178,0.009886,High,0.08481,0.09737,14.81,1.0,1000,148.1,14.81,1745280000000,"[-0.000311, -0.000231, 0.0001]",14.81,0.067744767049291
AMP,-0.008081,Strong,-0.005449,0.000288,0.002632,Medium,0.01088,0.012395,13.92,1.0,1000,139.25,13.92,1733443200000,"[-0.005733, -0.005054, -0.005559]",13.92,0.0580531609195402
10000COQ,-0.005106,Strong,-3.2e-05,0.000187,0.005074,High,0.01082,0.0123,13.68,1.0,1000,136.78,13.68,1739750400000,"[0.0001, -0.000296, 0.0001]",13.68,0.0373245614035087
EDU,-0.00855,Strong,-7.7e-05,0.000142,0.008473,High,0.1397,0.1575,12.74,1.0,1000,127.42,12.74,1744041600000,"[-0.000248, -8.2e-05, 0.0001]",12.74,0.0671114599686028
BOOP,-0.005071,Strong,-2.6e-05,0.000167,0.005045,High,0.3226,0.3614,12.03,1.0,1000,120.27,12.03,1746201600000,"[-7.9e-05, -0.0002, 0.0002]",12.03,0.0421529509559434
BAN,-0.02,Strong,-3.3e-05,0.000136,0.019967,High,0.0566,0.0634,12.01,1.0,1000,120.14,12.01,1738670400000,"[-0.000224, 5e-05, 7.6e-05]",12.01,0.1665278934221482
BADGER,-0.005471,Strong,5.8e-05,0.000272,0.005529,Medium,2.721,3.045,11.91,1.0,1000,119.07,11.91,1724083200000,"[0.000363, -0.000298, 0.000109]",11.91,0.045936188077246
BIGTIME,-0.005011,Strong,-4.6e-05,0.00013,0.004965,High,0.07354,0.08118,10.39,1.0,1000,103.89,10.39,1744905600000,"[-0.000229, 4.2e-05, 5e-05]",10.39,0.0482290664100096
AVAIL,-0.017363,Strong,0.0001,0.0,0.017463,High,0.1218,0.1332,9.36,2.0,1000,93.6,9.36,1736697600000,"[0.0001, 0.0001, 0.0001]",4.68,0.1855021367521367
BOBA,-0.012168,Strong,8.1e-05,2.7e-05,0.012249,High,0.1135,0.124,9.25,2.0,1000,92.51,9.25,1745222400000,"[4.2e-05, 0.0001, 0.0001]",4.625,0.1315459459459459
ARCSOL,-0.005557,Strong,-0.000985,7.8e-05,0.004572,High,0.2708,0.2947,8.83,2.0,1000,88.26,8.83,1739721600000,"[-0.000998, -0.000884, -0.001073]",4.415,0.0629331823329558
AIOZ,-0.006322,Strong,5.2e-05,6.8e-05,0.006374,High,0.9139,0.9933,8.69,2.0,1000,86.88,8.69,1737907200000,"[0.0001, 0.0001, -4.4e-05]",4.345,0.0727502876869965
DUCK,-0.006608,Strong,-3.9e-05,6.5e-05,0.006569,High,0.003083,0.003332,8.08,2.0,1000,80.77,8.08,1750420800000,"[-0.000102, -6.5e-05, 5e-05]",4.04,0.0817821782178217
BR,-0.005228,Strong,0.000125,7.5e-05,0.005353,High,0.0795,0.08592,8.08,2.0,1000,80.75,8.08,1750723200000,"[0.000228, 5e-05, 9.6e-05]",4.04,0.0647029702970297
BIGTIME,-0.008903,Strong,5e-05,0.0,0.008953,High,0.05968,0.06443,7.96,2.0,1000,79.59,7.96,1743667200000,"[5e-05, 5e-05, 5e-05]",3.98,0.1118467336683416
BABY,-0.008,Strong,5e-05,0.0,0.00805,High,0.09335,0.10065,7.82,2.0,1000,78.2,7.82,1744286400000,"[5e-05, 5e-05, 5e-05]",3.91,0.1023017902813299
CLANKER,-0.011201,Strong,0.000122,8e-06,0.011323,High,40.13,43.24,7.75,2.0,1000,77.5,7.75,1745841600000,"[0.000116, 0.000116, 0.000134]",3.875,0.1445290322580645
ARK,-0.005768,Strong,-0.000659,0.00028,0.005109,Medium,0.3508,0.3777,7.67,2.0,1000,76.68,7.67,1744084800000,"[-0.000636, -0.000328, -0.001012]",3.835,0.0752020860495436
AUCTION,-0.017642,Strong,5e-05,0.0,0.017692,High,26.41,28.33,7.27,2.0,1000,72.7,7.27,1716984000000,"[5e-05, 5e-05, 5e-05]",3.635,0.2426685006877579
A8,-0.015,Strong,0.0001,0.0,0.0151,High,0.3667,0.39165,6.8,2.0,1000,68.04,6.8,1736841600000,"[0.0001, 0.0001, 0.0001]",3.4,0.2205882352941176
10000LADYS,-0.005965,Strong,0.0001,0.0,0.006065,High,0.00048,0.000511,6.5,2.0,1000,64.58,6.46,1749916800000,"[0.0001, 0.0001, 0.0001]",3.23,0.0917692307692307
ARK,-0.006694,Strong,-0.000314,2.3e-05,0.00638,High,0.4989,0.5311,6.45,2.0,1000,64.54,6.45,1744862400000,"[-0.000282, -0.00033, -0.00033]",3.225,0.1037829457364341
B3,-0.005032,Strong,2.5e-05,0.0,0.005057,High,0.005007,0.00529,5.65,2.0,1000,56.52,5.65,1748404800000,"[2.5e-05, 2.5e-05, 2.5e-05]",2.825,0.0890619469026548
A8,-0.022636,Strong,0.000487,0.000259,0.023123,Medium,0.39641,0.41797,5.44,2.0,1000,54.39,5.44,1733788800000,"[0.0002, 0.000434, 0.000828]",2.72,0.4161029411764705
CTC,-0.006217,Strong,-0.00012,0.000169,0.006097,High,0.6298,0.6637,5.38,2.0,1000,53.83,5.38,1741766400000,"[-0.000169, -0.000299, 0.000107]",2.69,0.1155576208178438
AMP,-0.005654,Strong,-0.00493,0.000136,0.000724,High,0.011851,0.012458,5.12,2.0,1000,51.22,5.12,1733673600000,"[-0.004862, -0.00512, -0.004807]",2.56,0.1104296875
CLANKER,-0.011586,Strong,-2.7e-05,0.000109,0.011559,High,35.14,36.93,5.09,2.0,1000,50.94,5.09,1747627200000,"[-0.000182, 5e-05, 5e-05]",2.545,0.22762278978389
COW,-0.02,Strong,8e-06,5.9e-05,0.020008,High,0.4462,0.4655,4.33,3.0,1000,43.25,4.33,1740484800000,"[5e-05, 5e-05, -7.5e-05]",1.4433333333333334,0.4618937644341802
BADGER,-0.014702,Strong,5e-05,0.0,0.014752,High,0.926,0.965,4.21,3.0,1000,42.12,4.21,1744099200000,"[5e-05, 5e-05, 5e-05]",1.403333333333333,0.3492161520190023
CTSI,-0.007669,Strong,0.0001,0.0,0.007769,High,0.211,0.219,3.79,3.0,1000,37.91,3.79,1714233600000,"[0.0001, 0.0001, 0.0001]",1.2633333333333334,0.2023482849604221
ANIME,-0.007497,Strong,-3e-06,7.5e-05,0.007494,High,0.0279,0.0289,3.58,3.0,1000,35.84,3.58,1740283200000,"[5e-05, 5e-05, -0.000109]",1.1933333333333334,0.209413407821229
BOBA,-0.010509,Strong,0.0001,0.0,0.010609,High,0.2525,0.2615,3.56,3.0,1000,35.64,3.56,1707379200000,"[0.0001, 0.0001, 0.0001]",1.1866666666666668,0.2951966292134831
AMP,-0.005018,Strong,2.8e-05,4e-05,0.005046,High,0.004721,0.004889,3.56,3.0,1000,35.59,3.56,1731931200000,"[6.5e-05, -2.7e-05, 4.5e-05]",1.1866666666666668,0.1409550561797752
ARPA,-0.007694,Strong,5.6e-05,6.3e-05,0.00775,High,0.04198,0.04346,3.53,3.0,1000,35.25,3.53,1724083200000,"[0.0001, -3.3e-05, 0.0001]",1.1766666666666663,0.2179603399433428
BLZ,-0.00671,Strong,1e-06,7e-05,0.006711,High,0.07633,0.07875,3.17,3.0,1000,31.7,3.17,1734537600000,"[5e-05, -9.8e-05, 5e-05]",1.0566666666666666,0.2116719242902208
BLAST,-0.005493,Strong,-0.000432,0.000106,0.005061,High,0.006537,0.006736,3.04,3.0,1000,30.44,3.04,1737705600000,"[-0.000545, -0.00046, -0.00029]",1.0133333333333334,0.1806907894736842
B3,-0.005279,Strong,-0.004356,0.00028,0.000923,Medium,0.011105,0.011434,2.96,3.0,1000,29.63,2.96,1739491200000,"[-0.004521, -0.003962, -0.004585]",0.9866666666666668,0.1783445945945946
CESS,-0.009921,Strong,-0.005044,2e-05,0.004877,High,0.002756,0.002827,2.58,3.0,1000,25.76,2.58,1751025600000,"[-0.00504, -0.00507, -0.005021]",0.86,0.3845348837209302
CORE,-0.011375,Strong,-0.000224,0.000243,0.011151,Medium,0.4991,0.5116,2.5,3.0,1000,25.05,2.5,1743321600000,"[-0.000537, -0.000191, 5.5e-05]",0.8333333333333334,0.4549999999999999
BAL,-0.005001,Strong,0.0001,0.0,0.005101,High,1.247,1.274,2.17,3.0,1000,21.65,2.17,1747497600000,"[0.0001, 0.0001, 0.0001]",0.7233333333333333,0.2304608294930875
FIDA,-0.006925,Strong,-0.000256,2.7e-05,0.006669,High,0.1116,0.1135,1.7,4.0,1000,17.03,1.7,1741636800000,"[-0.000231, -0.000244, -0.000294]",0.425,0.4073529411764705
CLANKER,-0.005408,Strong,3.5e-05,2.1e-05,0.005443,High,32.51,32.99,1.48,4.0,1000,14.76,1.48,1750420800000,"[6e-06, 5e-05, 5e-05]",0.37,0.3654054054054053
AKT,-0.005526,Strong,3.3e-05,2.4e-05,0.005559,High,1.496,1.513,1.14,4.0,1000,11.36,1.14,1742788800000,"[5e-05, 5e-05, -1e-06]",0.285,0.4847368421052632
ENA,-0.005998,Strong,-2.4e-05,0.000104,0.005974,High,0.8854,0.8899,0.51,4.0,1000,5.08,0.51,1717790400000,"[-0.000171, 5e-05, 5e-05]",0.1275,1.176078431372549
ATH,-0.007413,Strong,-0.000215,0.000145,0.007198,High,0.03783,0.03795,0.32,4.0,1000,3.17,0.32,1741420800000,"[-7.9e-05, -0.000149, -0.000416]",0.08,2.3165625
BIGTIME,-0.006426,Strong,5e-05,0.0,0.006476,High,0.0835,0.0837,0.24,4.0,1000,2.4,0.24,1725523200000,"[5e-05, 5e-05, 5e-05]",0.06,2.6775
ARKM,-0.009531,Strong,6e-06,1.1e-05,0.009537,High,0.5763,0.5772,0.16,4.0,1000,1.56,0.16,1741680000000,"[2e-05, -6e-06, 5e-06]",0.04,5.956874999999999
AMP,-0.009005,Strong,-0.006778,0.000144,0.002227,High,0.011001,0.011005,0.04,4.0,1000,0.36,0.04,1733558400000,"[-0.006888, -0.006872, -0.006574]",0.01,22.5125
BADGER,-0.005336,Strong,-0.000218,0.000234,0.005118,Medium,1.014,1.013,-0.1,,1000,-0.99,-0.1,1745280000000,"[-0.000549, -4.1e-05, -6.3e-05]",-0.1,-5.335999999999999
10000COQ,-0.005772,Strong,9.1e-05,1.3e-05,0.005863,High,0.0092,0.00901,-2.07,,1000,-20.65,-2.07,1741392000000,"[0.0001, 0.0001, 7.2e-05]",-2.07,-0.2788405797101449
ARPA,-0.005819,Strong,2.7e-05,0.000104,0.005846,High,0.0227,0.02214,-2.47,,1000,-24.67,-2.47,1751414400000,"[-0.00012, 0.0001, 0.0001]",-2.47,-0.2355870445344129
BROCCOLI,-0.014195,Strong,-0.000282,0.000232,0.013913,Medium,0.06941,0.06758,-2.64,,1000,-26.37,-2.64,1742414400000,"[-0.000261, -8e-06, -0.000576]",-2.64,-0.537689393939394
BAL,-0.006425,Strong,-0.00014,0.000276,0.006285,Medium,1.359,1.317,-3.09,,1000,-30.91,-3.09,1746115200000,"[0.0001, 6e-06, -0.000526]",-3.09,-0.2079288025889968
ALT,-0.010885,Strong,2.8e-05,3.2e-05,0.010913,High,0.04067,0.03937,-3.2,,1000,-31.96,-3.2,1750075200000,"[5e-05, -1.7e-05, 5e-05]",-3.2,-0.34015625
ANIME,-0.009699,Strong,-0.0031,0.0,0.006599,High,0.02764,0.02669,-3.44,,1000,-34.37,-3.44,1749758400000,"[-0.0031, -0.0031, -0.0031]",-3.44,-0.2819476744186046
BEAMX,-0.009021,Strong,5e-05,0.0,0.009071,High,0.031685,0.030525,-3.66,,1000,-36.61,-3.66,1717142400000,"[5e-05, 5e-05, 5e-05]",-3.66,-0.2464754098360655
AVAIL,-0.008409,Strong,0.0001,0.0,0.008509,High,0.0279,0.02663,-4.55,,1000,-45.52,-4.55,1750406400000,"[0.0001, 0.0001, 0.0001]",-4.55,-0.1848131868131868
ARK,-0.0067,Strong,0.000226,3e-05,0.006926,High,0.5853,0.5586,-4.56,,1000,-45.62,-4.56,1735545600000,"[0.000188, 0.000261, 0.000228]",-4.56,-0.1469298245614035
DUCK,-0.01979,Strong,5e-05,0.0,0.01984,High,0.004211,0.004,-5.01,,1000,-50.11,-5.01,1750766400000,"[5e-05, 5e-05, 5e-05]",-5.01,-0.3950099800399201
DMC,-0.005383,Strong,-0.003028,0.000106,0.002355,High,0.004914,0.004582,-6.76,,1000,-67.56,-6.76,1750896000000,"[-0.003119, -0.00288, -0.003086]",-6.76,-0.0796301775147929
ASR,-0.010053,Strong,-0.000177,3.3e-05,0.009876,High,1.741,1.623,-6.78,,1000,-67.78,-6.78,1746374400000,"[-0.0002, -0.0002, -0.00013]",-6.78,-0.1482743362831858
BOOP,-0.005034,Strong,-3.8e-05,0.000172,0.004996,High,0.3648,0.3394,-6.96,,1000,-69.63,-6.96,1746432000000,"[-0.0002, -0.000113, 0.0002]",-6.96,-0.0723275862068965
BROCCOLI,-0.005,Strong,-0.000177,3.3e-05,0.004823,High,0.1781,0.165,-7.36,,1000,-73.55,-7.36,1739534400000,"[-0.0002, -0.0002, -0.000131]",-7.36,-0.0679347826086956
COMP,-0.015867,Strong,-0.000146,0.000136,0.015721,High,52.28,48.25,-7.71,,1000,-77.08,-7.71,1743494400000,"[-6.7e-05, -3.4e-05, -0.000338]",-7.71,-0.2057976653696498
BAN,-0.012028,Strong,-0.000123,0.000186,0.011905,High,0.0734,0.0668,-8.99,,1000,-89.92,-8.99,1739102400000,"[-3.7e-05, -0.000381, 5e-05]",-8.99,-0.1337931034482758
AGLD,-0.02,Strong,0.000464,0.000124,0.020464,High,2.7433,2.4424,-10.97,,1000,-109.69,-10.97,1731484800000,"[0.00052, 0.000292, 0.00058]",-10.97,-0.1823154056517775
ACX,-0.009888,Strong,-4.5e-05,8.9e-05,0.009843,High,0.4029,0.3549,-11.91,,1000,-119.14,-11.91,1742630400000,"[-0.000164, -2.1e-05, 5e-05]",-11.91,-0.0830226700251889
BROCCOLI,-0.012872,Strong,0.000144,0.000244,0.013016,Medium,0.08291,0.07292,-12.05,,1000,-120.49,-12.05,1743105600000,"[0.000163, 0.000432, -0.000164]",-12.05,-0.1068215767634854
FIO,-0.02,Strong,5e-05,0.0,0.02005,High,0.03097,0.02698,-12.88,,1000,-128.83,-12.88,1740672000000,"[5e-05, 5e-05, 5e-05]",-12.88,-0.15527950310559
BAN,-0.006541,Strong,-0.000458,0.000143,0.006083,High,0.0777,0.0517,-33.46,,1000,-334.62,-33.46,1739865600000,"[-0.000385, -0.000658, -0.00033]",-33.46,-0.0195487148834429
